question,label
"What is hypochlorhydria?
a. Increased amount of gastric acid.
b. Gastric ulceration.
c. Reduced amount of gastric acid.
d. Pernicious anaemia.
",C
"In the discharge checklist recommended by the Department of Health (2004), who should be involved in completing the form?
a. The GP, consultant, and named nurse.
b. The nurse, patient, and ward clerk.
c. The nurse, ward clerk, and consultant.
d. The nurse, consultant, and GP.
",B
"Which one of the following manoeuvres is not a central painful stimulus?
a. Supra-orbital ridge pressure.
b. Pressure on the little finger pulp.
c. Trapezius squeeze.
d. Sternal rub.
",B
"A 52-year-old female presents to the office with the complaint of greenish discharge from her left nipple. There is no history of trauma or fever, and the patient is not currently using oral contraceptives nor is she on hormone replacement therapy. Her last pregnancy was approximately 20 years ago. Physical examination findings are normal except for the green discharge. The most likely cause of this patient's presenting complaint is
a. breast cancer
b. fibrocystic disease
c. mammary duct ectasia
d. pituitary adenoma
",C
"A 37-year-old man comes to the physician because of nonradiating low back pain for 3 days. The pain began after he worked in his yard. He has not had any change in bowel movements or urination. He had one similar episode 3 years ago that resolved spontaneously. Vital signs are within normal limits. Examination of the back shows bilateral paravertebral muscle spasm. Range of motion is limited by pain. Straight-leg raising is negative. In addition to analgesia, which of the following is the most appropriate next step in management?
a. Bed rest
b. Regular activity
c. X-rays of the spine
d. MRI of the spine
",B
"A 32-year-old man is brought to the emergency department 30 minutes after being struck by a car while driving his motorcycle. He reports severe pelvic pain. On examination, there is bruising of the perineum and pain is elicited with motion of his pelvis. Blood is noted at the urethral meatus. There is no other penile trauma. A plain x-ray shows a fracture of the superior pubic ramus and retrograde urethrography is done to evaluate for a urethral disruption. Which of the following portions of the urethra would be at greatest risk for injury in this patient?
a. Intramural (pre-prostatic)
b. Membranous
c. Prostatic
d. Spongy
",B
"A 45-year-old man comes to the physician because of right shoulder pain that began after he chopped wood 2 days ago. Examination of the right upper extremity shows no obvious bone deformities or point tenderness. The pain is reproduced when the patient is asked to externally rotate the shoulder against resistance; there is no weakness. In addition to the teres minor, inflammation of which of the following tendons is most likely in this patient?
a. Infraspinatus
b. Pectoralis
c. Subscapularis
d. Supraspinatus
",A
"A 68-year-old female has a history of breast cancer that has recurred twice in the past 5 years. She has undergone both radiation and chemotherapy for metastatic carcinoma to the bone. She presents to the office today to ask for help in dealing with midthoracic back pain to enable her to use less analgesic agents. The most appropriate osteopathic manipulative technique to treat this patient's spine is
a. high velocity, low amplitude
b. indirect myofascial release
c. isotonic exercise therapy
d. mid velocity, mid amplitude
",B
"A healthy 2-year-old girl is brought to the office for a routine well-child visit. The child was weaned at 6 months of age and began to walk at 10 months of age. On physical examination, she has mild bowlegs (10-degree genu varum). Which of the following is the most appropriate management to recommend at this time?
a. Increased intake of vitamin D
b. A special exercise program
c. Surgical correction
d. No treatment is needed at this time
",D
"A 35-year-old female develops nausea and vomiting after she underwent a cholecystectomy for protracted ileus. Her body mass index was 23 kg/m2 before surgery, and, except for the cholecystitis, she was in good health. The patient remains unable to eat 6 days after surgery. Which of the following forms of nutritional support is most appropriate for this patient?
a. central hyperalimentation
b. feeding through a nasogastric feeding tube
c. oral fat-free modular diet
d. peripheral hyperalimentation
",D
"A 24-year-old man is brought to the emergency department 40 minutes after he was involved in a motor vehicle collision. He was the unrestrained driver. He is conscious. Physical examination shows numerous lacerations and ecchymoses over the face. His vision is normal. Ocular, facial, and lingual movements are intact. The gag reflex is present. Sensation to pinprick is absent over the right side of the face anterior to the right ear, extending down along the full extent of the mandible to the chin. Sensation also is absent over the right side of the tongue. X-rays of the skull show fractures of the orbit, zygomatic arch, and infratemporal fossa. The most likely cause of these findings is a fracture affecting which of the following locations?
a. Foramen lacerum
b. Foramen ovale
c. Foramen rotundum
d. Foramen spinosum
",B
"A previously healthy 17-year-old girl comes to the physician because of a 2-month history of exercise-induced cough and nasal congestion. She plays field hockey and has noticed she coughs when running up and down the field. The cough is nonproductive and resolves with rest. She has not had chest pain or palpitations. She takes no medications and does not smoke. Her sister has asthma. The patient appears well. Her pulse is 68/min, respirations are 16/min, and blood pressure is 100/75 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 99%. Cardiopulmonary examination shows no abnormalities. An x-ray of the chest shows no abnormalities. Spirometry shows an FEV1:FVC ratio of 90% and an FEV1 of 90% of predicted. Which of the following is the most likely diagnosis?
a. Asthma
b. Chronic bronchitis
c. Gastroesophageal reflux disease
d. Postnasal drip syndrome
",A
"A 37-year-old woman is brought to the emergency department 45 minutes after she was found unconscious on her apartment floor. Her coworkers became concerned when she did not arrive for work. On arrival, she is unable to provide a history. Her pulse is 96/min, respirations are 12/min, and blood pressure is 124/58 mm Hg. Examination shows erythema, warmth, and induration of the upper back, buttocks, and posterior thighs. Her serum creatine kinase activity is 10,300 U/L. Urine toxicology screening is positive for opiates and cocaine. Urine dipstick is strongly positive for blood. Microscopic examination of the urine shows pigmented granular casts and rare erythrocytes. This patient is at increased risk for which of the following conditions over the next 24 hours?
a. Acute respiratory distress syndrome
b. Acute tubular necrosis
c. Cerebral edema
d. Cerebral hemorrhage
",B
"A previously healthy 24-year-old woman comes to the physician because of a low-grade fever and a nonproductive cough for 7 days. She has been able to continue her daily activities. Her temperature is 37.7°C (99.9°F). A few scattered inspiratory crackles are heard in the thorax. An x-ray of the chest shows patchy infiltrates in both lungs. Which of the following is the most appropriate initial pharmacotherapy?
a. Amoxicillin
b. Cefaclor
c. Ciprofloxacin
d. Erythromycin
",D
"A 16-year-old girl is brought to the office by her mother because she is concerned that she may have contracted meningitis from her soccer teammate, who was diagnosed with meningococcal meningitis and admitted to the hospital yesterday. The patient's soccer team traveled to a neighboring state to participate in a tournament 1 week ago and she shared a hotel room with the girl who was hospitalized. The patient feels well but is concerned she may have ""caught the same bug."" Medical history is remarkable for asthma. Medications include inhaled albuterol. Vital signs are temperature 37.2°C (98.9°F), pulse 64/min, respirations 16/min, and blood pressure 107/58 mm Hg. Physical examination shows no abnormalities. Which of the following is the most appropriate intervention for this patient at this time?
a. Administer the meningococcal vaccine
b. Prescribe doxycycline
c. Prescribe penicillin
d. Prescribe rifampin
",D
"In a cohort study of elderly women, the relative risk ratio for hip fractures among those who exercise regularly is 1.2 (95% confidence interval of 1.1 to 1.8). Which of the following is the most appropriate conclusion about the effect of regular exercise on the risk for hip fracture?
a. Statistically nonsignificant increase in risk
b. Statistically nonsignificant overall decrease in risk
c. Statistically significant overall decrease in risk
d. Statistically significant overall increase in risk
",D
"Five years after being shot in the right thigh, a 21-year-old man comes to the emergency department because of a buzzing sensation adjacent to the scar. At the time of the initial wound, he was discharged after 6 hours of observation with no fractures or soft-tissue swelling. A loud murmur is heard on auscultation; there is a thrill. He has dilated varicose veins with incompetent valves in the lower leg. Which of the following is the most likely diagnosis?
a. Arterial spasm
b. Arteriovenous fistula
c. Deep venous thrombosis
d. Occlusion of the superficial femoral artery
",B
"A 5-year-old boy is admitted to the hospital because of a 1-week history of fever and increasingly severe abdominal discomfort. At the age of 7 months, he was treated for osteomyelitis caused by Aspergillus fumigatus. He has been admitted to the hospital three times during the past 4 years for severe pneumonia. He appears moderately ill. His temperature is 39°C (102.2°F). Abdominal examination shows an enlarged, tender liver. Ultrasonography of the abdomen shows an intrahepatic abscess. Culture of the abscess fluid grows Staphylococcus aureus. Further analysis shows failure of the neutrophils to undergo an oxidative burst when exposed to S. aureus. This patient has an increased susceptibility to infection as a result of which of the following abnormalities?
a. Failure of leukocytes to migrate between endothelial cells
b. Failure of leukocytes to roll along the endothelial surface
c. Inability of leukocytes to ingest microorganisms
d. Inability of leukocytes to kill intracellular microorganisms
",D
"A 78-year-old man, who underwent coronary angiography with stent placement 8 years ago, comes to the office for a routine health maintenance examination. The patient reports no new symptoms except for shortness of breath and fatigue during exercise that began 3 months ago when he tried to increase the distance of his daily walk from 1 mile to 3 miles. He has not had orthopnea, paroxysmal nocturnal dyspnea, or chest pain. Additional medical history is significant for hypertension, coronary artery disease, dyslipidemia, and polymyalgia rheumatica. The patient also has a heart murmur that was discovered at an armed forces screening physical examination at age 18 years, but it did not prevent him from serving in the military. Medications are metoprolol, atorvastatin, lisinopril, omeprazole, and a low dose of prednisone every other day. The patient is active and manages a small farm. BMI is 26 kg/m2 . Vital signs are temperature 37.0°C (98.6°F), pulse 60/min, respirations 18/min, and blood pressure 124/61 mm Hg. Cardiac examination discloses a normal S1, pronounced S2, and a grade 2/6 late systolic murmur heard at the right upper parasternal border. Pulses are normal in contour. Results of laboratory studies are within the reference ranges. ECG shows no abnormalities. Which of the following is the most appropriate next step in management?
a. Decrease the dose of metoprolol
b. Increase the dose of prednisone
c. Obtain serum vitamin D concentration
d. Order a transthoracic echocardiography
",D
"A 32-year-old woman, gravida 3, para 2, at 41 weeks' gestation is admitted to the hospital in active labor. Pregnancy has been complicated by mild asthma treated with inhaled bronchodilators. At the beginning of the second stage of labor, the cervix is 100% effaced and 10 cm dilated; the vertex is at -1 station. The fetal heart rate is reactive with no decelerations. After 10 minutes of pushing, there is a prolonged deceleration to 60/min. The patient has the acute onset of shortness of breath, rapidly develops cyanosis, and becomes unresponsive. Her pulse and blood pressure cannot be detected. Immediate resuscitation is started. Five minutes later, there is bleeding from the nose, mouth, and intravenous sites. Which of the following is the most likely diagnosis?
a. Amniotic fluid embolism
b. Intracerebral hemorrhage
c. Myocardial infarction
d. Status asmaticus
",A
"A 42-year-old man comes to the physician for a follow-up examination. Four months ago, he underwent repair of a Dupuytren contracture. Physical examination shows decreased range of motion in the affected hand. The patient is upset that his hand has not fully healed, and he files a malpractice suit against the physician. Which of the following is the most likely precipitating factor in this patient's decision to file a malpractice suit?
a. The patient's perception that the physician is incompetent
b. The patient's perception that the physician is uncaring
c. The patient's socioeconomic status
d. The physician's amount of experience in the medical field
",B
"A 19-year-old male presents to the office for evaluation after he was hit from behind below the right knee while playing football. Gait analysis reveals a lack of fluid motion. Standing flexion test results are negative. Cruciate and collateral knee ligaments appear intact. Foot drop on the right is noted. The most likely diagnosis is
a. anteriorly deviated distal femur
b. plantar flexed cuboid
c. posteriorly deviated fibular head
d. unilateral sacral shear
",C
"A 33-year-old woman comes to the physician because of a 2-day history of mild nausea, increased urinary urgency and frequency, and constipation. She also has had a 4.5-kg (10-lb) weight loss during the past 2 weeks and a 3-week history of vaginal bleeding. Pelvic examination shows a nodular cervix with an irregular, friable posterior lip, and a rock-hard, irregular, immobile pelvic mass that extends across the pelvis. Examination of biopsy specimens from the cervix and anterior wall of the vagina show well-differentiated keratinizing squamous cell carcinoma. Which of the following best describes the pathogenesis of this patient's disease?
a. Inactivation of cellular p53
b. Insertion of viral promotors adjacent to cellular growth factor genes
c. Specialized transduction
d. Transactivation of cellular growth factor genes by TAX
",A
"A 52-year-old woman comes to the emergency department because of a 1-week history of low-grade fever and increasing abdominal cramps that are exacerbated by bowel movements. She began a course of amoxicillin-clavulanate and metronidazole 2 days ago but has had no relief of her symptoms. She has had intermittent constipation for the past 12 years. She has not had nausea, vomiting, urinary symptoms, or bloody stools. She has a 3-year history of hypertension. She underwent total abdominal hysterectomy and bilateral salpingo-oophorectomy 5 years ago because of leiomyomata uteri. She is 165 cm (5 ft 5 in) tall and weighs 86 kg (190 lb); BMI is 32 kg/m2 . Her temperature is 38.1°C (100.6°F), pulse is 75/min, and blood pressure is 150/80 mm Hg. The lungs are clear to auscultation. Cardiac examination shows no abnormalities. The abdomen is soft, and there is tenderness to palpation of the left lower quadrant with guarding but no rebound. Bowel sounds are normal. The stool is brown, and test for occult blood is negative. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 15,000/mm3 , and platelet count is 280,000/mm3 ; serum studies and urinalysis show no abnormalities. Which of the following is the most appropriate next step in diagnosis?
a. Test of the stool for Clostridium difficile toxin
b. Endoscopic retrograde cholangiopancreatography
c. Pelvic ultrasonography
d. CT scan of the abdomen with contrast
",D
"A 67-year-old woman comes to the physician because of dizziness for 6 weeks. When she stands up suddenly, she becomes light-headed and has to steady herself for approximately 1 to 2 minutes before she is able to walk. She has hypertension and type 2 diabetes mellitus. Current medications include glyburide, a diuretic, a β-adrenergic blocking agent, and an angiotensinconverting enzyme (ACE) inhibitor. Her pulse is 55/min. Her blood pressure is 110/70 mm Hg in the right arm and 70/50 mm Hg in the left arm while supine; her blood pressure is 70/50 mm Hg in the right arm and 50/30 mm Hg in the left arm immediately after standing. Neurologic examination shows no focal findings. An ECG shows sinus bradycardia with no evidence of ischemia. Carotid duplex ultrasonography shows reverse flow in the left vertebral artery with no evidence of occlusion. Which of the following is the most appropriate next step in management?
a. Cardiac stress scintigraphy
b. Adjusting her medication regimen
c. Warfarin therapy
d. Transesophageal echocardiography
",B
"A 76-year-old man comes to the office because of early awakening at night. He has no difficulty falling asleep but routinely wakes up between 2:00 and 3:00 AM. The patient is a retired postal worker, and he has always been physically active. He has diabetes mellitus controlled by diet. The patient drinks one cup of coffee in the morning with breakfast and usually walks for exercise in the morning. Before retiring at night he has one alcoholic beverage. He has no history of depression, nightmares, or snoring and he takes no over-the-counter medications. His wife of 45 years is also in good health. Vital signs are temperature 37.1°C (98.8°F), pulse 96/min and regular, respirations 18/min, and blood pressure 135/90 mm Hg. Physical examination shows a well-nourished, well-developed man. He is not obese. Examination of the head and neck is normal; there are no bruits or jugular venous distention. Chest is clear, and heart is normal with S1 and S2. Abdomen is soft and nontender with active bowel sounds and no organomegaly. Rectal examination discloses no abnormalities. Which of the following is the most appropriate management of this patient's insomnia?
a. Advise the patient to discontinue his bedtime drink of alcohol
b. Advise the patient to read and snack in bed to relax
c. Prescribe a vigorous pre-bedtime exercise regimen
d. Prescribe sertraline
",A
"A 55-year-old male presents to the emergency department with a 2-day history of severe epigastric pain and vomiting. Past medical history is negative for any similar episodes. He does not take any medications. He smokes cigarettes, has a 40 pack-year history, and consumes more than 8 cans of beer per day. Abdominal examination reveals epigastric tenderness. Laboratory studies reveal a serum amylase level of 467 U/L (reference range: 28-100 U/L) and a γ-glutamyltransferase level of 212 U/L (reference range: < 55 U/L). Referred pain in this patient is transmitted to the spinal cord by which of the following nerves?
a. anterior rami of T1-T5
b. anterior rami of T6-T10
c. anterior rami of T11-T12
d. posterior rami of T1-T5
",B
"The normal pH of the cytosol is about 7.2. Most enzymes in the lysosome, however, are only active at a pH of 5. This suggests that
a. only acidic substances can undergo enzymatic processing in lysosomes
b. most enzymes in the lysosome are incapable of catalyzing substrates inside the lysosome
c. enzymes in the lysosome are released to the cytosol
d. protons are actively pumped into the lysosome
",D
"Sexual dimorphism is most often a result of
a. pansexual selection.
b. stabilizing selection.
c. intrasexual selection.
d. intersexual selection.
",D
"If a forest of fir, birch, and white spruce trees was devastated by fire, which of the following would most likely happen?
a. Only animal life would continue to inhabit the region.
b. Secondary succession would begin to occur.
c. Only tough grasses would appear.
d. The number of species would stabilize as the ecosystem matures.
",B
"Logically, which of these should cast the most doubt on the relationships depicted by an evolutionary tree?
a. None of the organisms depicted by the tree ate the same foods.
b. Some of the organisms depicted by the tree had lived in different habitats.
c. The skeletal remains of the organisms depicted by the tree were incomplete (i.e., some bones were missing).
d. Relationships between DNA sequences among the species did not match relationships between skeletal patterns.
",D
"Which of the following is a property that is shared by Zika fever‚ West Nile fever‚ and malaria?
a. The diseases are caused by viruses.
b. The diseases occur only in individuals who visit or live in tropical countries.
c. The pathogens that cause the diseases have developed resistance to antibiotics.
d. The pathogens that cause the diseases are primarily transmitted by the bite of an infected mosquito.
",D
"A cell is placed into a hypertonic environment and its cytoplasm shrivels up. This demonstrates the principle of
a. diffusion.
b. active transport.
c. facilitated diffusion.
d. plasmolysis.
",D
"An animal that is harmless copies the appearance of an animal that is dangerous as a defense mechanism to make predators think twice about attacking.
a. Aposomatic coloration
b. Batesian mimicry
c. Deceptive markings
d. Cryptic coloration
",B
"Which of the following theories is based on the notion that mitochondria and chloroplasts evolved from prokaryotic cells?
a. Fluid mosaic model
b. Endosymbiotic model
c. Taxonomic model
d. Respiration feedback model
",B
"The development of an egg without fertilization is known as
a. meiosis
b. parthenogenesis
c. embryogenesis
d. vegetative propagation
",B
"Which of the following is NOT a characteristic of asexual reproduction in animals?
a. Daughter cells have the same number of chromosomes as the parent cell.
b. Daughter cells are identical to the parent cell.
c. The parent cell produces diploid cells.
d. The daughter cells fuse to form a zygote.
",D
"Which of the following statements is an inference of natural selection?
a. Subsequent generations of a population should have greater proportions of individuals that possess traits better suited for success.
b. An individual organism undergoes evolution over the course of its lifetime.
c. Habitats do not generally have unlimited resources.
d. Natural populations tend to reproduce to their full biological potential.
",A
"Viruses are considered an exception to the cell theory because they
a. are not independent organisms
b. have only a few genes
c. move about via their tails
d. have evolved from ancestral protists
",A
"High levels of estrogen from maturing follicles inhibit the release of gonadotropin releasing hormone (GnRH). Which of the following endocrine glands produces GnRH?
a. Anterior pituitary
b. Posterior pituitary
c. Hypothalamus
d. Pineal gland
",C
"In plants, the tendency of climbing vines to twine their tendrils around a trellis is called
a. thigmotropism
b. hydrotropism
c. phototropism
d. geotropism
",A
"This biome contains plants whose roots cannot go deep due to the presence of a permafrost.
a. Desert
b. Tundra
c. Taiga
d. Deciduous forests
",C
"Which of the following is the most likely benefit of periodic natural wildfires in some forest ecosystems?
a. The fires remove dead and decaying plant matter, reducing the risk of more intense and destructive fires.
b. The fires leach nutrients from the soil‚ preventing the germination of plants that might compete with native species.
c. The fires drive off herbivores whose plant-based diets reduce the amount of vegetation.
d. The fires dry out the soil and decrease the chance of flooding after heavy rains.
",A
"Which of the following best explains why people can digest starch but cannot digest cellulose even though both molecules are composed of glucose monomers?
a. The bonds linking the monomers of starch differ in shape from the bonds linking the monomers of cellulose.
b. Molecules of starch are much smaller than molecules of cellulose.
c. Starch is an intracellular molecule, while cellulose is an extracellular molecule.
d. Starch is hydrated by water, but cellulose is not.
",A
"The base composition of DNA varies from one species to another. Which of the following ratios would you expect to remain constant in the DNA?
a. Cytosine : Adenine
b. Pyrimidine : Purine
c. Adenine : Guanine
d. Guanine : Deoxyribose
",B
"The structure of ATP synthase in the plasma membranes of bacteria is nearly identical to that in the mitochondria and chloroplasts of eukaryotic cells. This similarity best supports which of the following hypotheses?
a. Eukaryotic and prokaryotic cells share a common ancestor.
b. Mitochondria are derived from ancient aerobic bacteria, and chloroplasts are derived from ancient photosynthetic bacteria.
c. The similarity of ATP synthase in bacteria, mitochondria, and chloroplasts is an example of convergent evolution.
d. Mitochondria and chloroplasts escaped from eukaryotic cells and formed aerobic and photosynthetic prokaryotes.
",B
"No two people are genetically identical, except for identical twins. The chief cause of genetic variation among human individuals is
a. new mutations that occurred in the preceding generation.
b. the reshuffling of alleles in sexual reproduction.
c. genetic drift due to the small size of the population.
d. geographic variation within the population.
",B
"Which of the following statements best summarizes evolution as it is viewed today?
a. It is goal-directed.
b. It represents the result of selection for acquired characteristics.
c. It is synonymous with the process of gene flow.
d. It is the differential survival and reproduction of the most-fit phenotypes.
",D
"Which of the following statements about voting patterns is NOT true?
a. Non-whites are more likely to vote Democratic than are whites.
b. Women are more likely to vote Democratic than are men.
c. Low-income Americans are more likely to vote Democratic than are upper-income Americans.
d. Evangelical Christians are more likely to vote Democratic than are non-religious Americans.
",D
"The president executes a ""pocket veto"" by doing which of the following?
a. Publicly expressing rejection of a bill
b. Issuing an executive order invalidating a recently passed bill
c. Failing to sign a bill after Congress has adjourned
d. Recalling ambassadors from a peace negotiation
",C
"The Supreme Court has used the Fourteenth Amendment to apply portions of the Bill of Rights to state law by citing the amendment's
a. prohibition on unreasonable search and seizures
b. due process clause
c. guarantee of privacy rights
d. abolition of slavery
",B
"The Voting Rights Act of 1965 has had which of the following effects?
a. States have been prohibited from establishing voter identification requirements.
b. Voters must now pass literacy tests before voting.
c. Voting participation for racial minority voters has increased.
d. The voting age was lowered from 21 to 18.
",C
"All of the following can be considered true about the impact of a higher level of education on voting habits EXCEPT
a. voters are more likely to support government-enforced affirmative action programs
b. voters are more likely to support environmental protection efforts
c. voters are more likely to support public prayer in schools
d. voters are less likely to support restrictions on abortion rights
",C
"Compared with political parties in countries such as England and Israel, both of which have multiparty systems, American political parties are
a. less interested in influencing the outcome of elections
b. less clearly identified with consistent political ideologies
c. less effective at raising money from political supporters
d. better able to reflect the goals of their entire constituencies
",B
"The Supreme Court has used the practice of selective incorporation to
a. limit the number of appeals filed by defendants in state courts
b. extend voting rights to racial minorities and women
c. apply most Bill of Rights protections to state law
d. hasten the integration of public schools
",C
"Which of the following is NOT part of the ""iron triangles"" that influence public policy-making?
a. House committees
b. Senate committees
c. The courts
d. Bureaucratic agencies
",C
"Which of the following does NOT appear in the Constitution?
a. The electoral college
b. Political parties
c. Separation of powers
d. The term length for members of Congress
",B
"According to Brown v. Board of Education (1954), which of the following amendments was violated by the ""separate but equal"" doctrine that had been established in Plessy v. Ferguson (1896)?
a. First Amendment
b. Sixth Amendment
c. Ninth Amendment
d. Fourteenth Amendment
",D
"Which of the following best describes the Supreme Court's doctrine of incorporation?
a. Although the Constitution empowers the federal government to regulate international trade, states may establish boycotts of goods imported from countries that use child labor.
b. While the Congress creates laws, and the executive branch enacts and enforces those laws, only the Supreme Court may decide which laws and executive actions are unconstitutional.
c. The Fifth Amendment guarantees that an individual may not be deprived of life, liberty, or property without due process, and this protection provides a legal justification for those who do not wish to serve on a jury.
d. The Bill of Rights articulates certain rights in order to protect individuals from the federal government, and the Fourteenth Amendment extends most of those rights to protect individuals from the state governments as well.
",D
"All of the following statements about gerrymandering are true EXCEPT that it
a. favors incumbent candidates over challengers
b. can divide like-minded voters into several districts to reduce their influence
c. has been allowed by the Supreme Court in some instances
d. increases the control voters have over their elected officials
",D
"Which of the following is true of court cases in which one private party is suing another?
a. They are tried in civil court.
b. The federal court system has exclusive jurisdiction over them.
c. They are tried in criminal court.
d. The state court system has exclusive jurisdiction over them.
",A
"The line-item veto was found unconstitutional because
a. it gave executive powers to the legislature
b. it gave legislative powers to the bureaucracy
c. it gave legislative powers to the president
d. it delegated too many powers to the states
",C
"Which of the following is an accurate statement about the leadership of the two major political parties?
a. The national party organization controls all facets of party activity throughout the country.
b. Party leadership is dispersed among numerous officials at the national, state, and local levels.
c. The highest elected official in each national party directs that party's activities and operations all the way down to the state and local levels.
d. All major decisions concerning party activities are made during each party's presidential nomination conventions.
",B
"The Supreme Court issued the opinion quoted below in its ruling on which of the following cases? ""We conclude that in the field of education the doctrine of 'separate but equal' has no place. Separate educational facilities are inherently unequal.""
a. Gideon v. Wainwright
b. Marbury v. Madison
c. Engel v. Vitale
d. Brown v. Board of Education of Topeka
",D
"Which of the following categories of spending are paid without an appropriations bill?
a. Department of Education special acts and authorizations
b. Justice department budgets
c. Federal budget entitlements
d. Department of Defense funding
",C
"Which of the following is NOT one of the four categories of persuasive crisis communication strategies identified by W. Timothy Coombs?
a. ingratiation
b. downplaying
c. distancing
d. nonexistence
",B
"Which of these types of survey question seeks qualitative information?
a. Likert scale
b. Multiple choice
c. Open-ended
d. Yes/No
",C
"Which phase of public relations audience research is associated with summative evaluation?
a. Implementation
b. Impact
c. Attitude change
d. Preparation
",B
"Which of the following Internet-related challenges is most significant in the public relations field?
a. Representing clients using new social media environments
b. Finding stable, cost-effective Internet providers
c. Training staff to use social media
d. Staying abreast of changing technology
",D
"________ is most common to political campaigns because it focuses on raising the public's awareness about a particular person in hopes they will either support or not support the person.
a. Product-oriented advertising
b. Idea-oriented advertising
c. Person-oriented advertising
d. Platform-oriented advertising
",C
"Which of the following information about publications does the Audit Bureau of Circulation NOT provide?
a. Circulation
b. Distribution
c. Traffic
d. Readership
",D
"Which common public relations tactic involves sending journalists on visits to appropriate locations?
a. Media release
b. Media tour
c. Press room
d. Promotional days/weeks
",B
"Which of these phrases refers specifically to a crisis, rather than an issue?
a. A gap between corporate and stakeholder expectations.
b. When an organization's trading is interrupted.
c. Can be avoided with constant monitoring and relationship building.
d. It happens suddenly.
",D
"The Web was effectively invented by Berners-Lee in which year?
a. 1980
b. 1989
c. 1991
d. 1993
",C
"A high blood ammonia level occurs in:
a. galactosaemia.
b. Hurler's syndrome.
c. ornithine transcarbamylase (OTC) deficiency.
d. phenylketonuria.
",C
"Enzyme assay can be used to identify carriers of:
a. Cystic fibrosis.
b. Fragile X syndrome.
c. Oculocutaneous albinism.
d. Tay-Sachs disease.
",D
"The likelihood of an individual in a population carrying two specific alleles of a human DNA marker, each of which has a frequency of 0.2, will be:
a. 0.4
b. 0.32
c. 0.08
d. 0.02
",C
"If both parents are affected with the same autosomal recessive disorder then the probability that each of their children will be affected equals ___.
a. 1 in 4
b. 1 in 2
c. 2 in 3
d. 1
",D
"Homeobox sequences
a. are present in the genome of many animal species
b. are found in prokaryotes but not in eukaryotes
c. were identified as the integration sites for bacterial viruses
d. represent integration sites for transposable elements
",A
"Find 3 over 4 − 1 over 8.
a. 21 over 32
b. 1
c. 5 over 8
d. 11 over 16
",C
"A model of a park was built on a scale of 1.5 centimeters to 50 meters. If the distance between two trees in the park is 150 meters, what is this distance on the model?
a. 0.5 centimeter
b. 4.5 centimeters
c. 75 centimeters
d. 225 centimeters
",B
"Sapphire is making bouquets of balloons for a graduation party. She has 179 balloons and needs to put 7 balloons in each bouquet. How many bouquets can Sapphire make?
a. 32 bouquets
b. 23 bouquets
c. 25 bouquets
d. 26 bouquets
",C
"Which equation represents 36 less than a number, y, is equal to 13?
a. y - 36 = 13
b. 36 - y = 13
c. 13 - y = 36
d. 36 + y = –13
",A
"The weekly milk order for the Tranquility Inn includes 40 gallons of low-fat milk and 15 gallons of chocolate milk. What is the ratio of the number of low-fat gallons to chocolate gallons in the Tranquility Inn’s weekly milk order?
a. 3:01
b. 5:01
c. 5:03
d. 8:03
",D
"A dime has a radius of about 0.85 cm. Which measurement is closest to the circumference of a dime?
a. 1.33 cm
b. 1.70 cm
c. 2.67 cm
d. 5.34 cm
",D
"A shopping mall wants to conduct a survey of the people who shop at the mall. Which would give them the most representative sample?
a. conducting the survey at one shoe store
b. conducting the survey at all shoe stores
c. conducting the survey at the entrance to the mall
d. conducting the survey a mile away from the mall 
",C
"Peter works 38 hours per week and earns $7.25 per hour. His employer gives him a raise that increases his weekly gross pay to $307.80. What is the increase in Peter's weekly gross pay?
a. $32.30 
b. $34.70 
c. $42.46 
d. $275.50 
",A
"Sam paid $8.28 for 18 stamps. At this rate, how much would it cost Sam to buy 12 stamps?
a. $2.19 
b. $2.28 
c. $3.72 
d. $5.52 
",D
"Find the product of 5.7(8) mentally using the Distributive Property.
a. 46.4
b. 456
c. 4.56
d. 45.6
",D
"A newspaper company sold 179,912 newspapers in one day. What is this number of newspapers written in word form?
a. one hundred seventy-nine thousand twelve
b. one hundred seventy-nine nine hundred twelve
c. one hundred seventy thousand nine hundred twelve
d. one hundred seventy-nine thousand nine hundred twelve
",D
"Which number has an absolute value greater than 5?
a. -6
b. -5
c. 0
d. 5
",A
"A number, rounded to the nearest thousand,is 47,000. Which number could be the number that was rounded?
a. 46,295
b. 46,504
c. 47,520
d. 47,924
",B
"Find 4 over 7 + 2 over 7.
a. 6 over 14
b. 8 over 49
c. 14 over 28
d. 6 over 7
",D
"A sporting goods store is offering a 10% discount on in-line skates that normally cost $110.99. How much will the in-line skates cost with the discount, not including tax?
a. $99.89 
b. $99.99 
c. $100.99 
d. $109.88 
",A
"The number pattern follows a skip-counting rule. 5, 20, 35, 50, 65... Which number pattern follows the same rule?
a. 5, 20, 25, 30, 35...
b. 13, 18, 23, 28, 33...
c. 12, 27, 42, 57, 72...
d. 15, 30, 40, 55, 65...
",C
"A group of hikers climbed from Salt Flats (elevation −55 feet)to Talon Bluff (elevation 620 feet). What is the difference in elevation between Talon Bluff and Salt Flats?
a. 565 feet
b. 575 feet
c. 665 feet
d. 675 feet
",D
"Compute 52 + 6 * 2.
a. 116
b. 64
c. 62
d. 118
",B
